track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,duration_ms,explicit,external_url,query_genre
7B9zspndqbrSXXUwVNeTCe,Born With a Broken Heart,7AaGbSgUxJFuZ49VvclNH6,Damiano David,09OXDzuUcSUACxAsU7zmsO,FUNNY little FEARS,2025-05-16,,208956,False,https://open.spotify.com/track/7B9zspndqbrSXXUwVNeTCe,rock
1xsYj84j7hUDDnTTerGWlH,Dream On,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,1RDVdxPUaqC4o7Rkm8LoOE,Aerosmith,1973-01-05,,267596,False,https://open.spotify.com/track/1xsYj84j7hUDDnTTerGWlH,rock
7LpS82vPDLgZAHWRtWBBRj,Ni tú ni nadie,2mDlFcPtgXtLF1gEshEInh,Alaska Y Dinarama,0WCUpdYXsvpM8Bed8w4vQF,Deseo Carnal,1984-05-29,,217000,False,https://open.spotify.com/track/7LpS82vPDLgZAHWRtWBBRj,rock
0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,28yHV3Gdg30AiB8h8em1eW,Appetite For Destruction,1987-07-21,,273480,True,https://open.spotify.com/track/0G21yYKMZoHa30cYVi1iA8,rock
4qfFh2l9keVDx6wE4oQqaA,A la sombra de la sierra,036IY6CphXdsPiqIXdqvCP,La Raíz,2EmnLr2bL4P5W2IibIQxEi,Así en el Cielo Como en la Selva,2013-03-01,,240866,False,https://open.spotify.com/track/4qfFh2l9keVDx6wE4oQqaA,rock
5TnAz2CbcJqN7aAjRaM2Mv,Última Bala,16t23tANCHuuAN0yPqBbA0,DePol,6tTg5qkO15q5uT9exNeyFy,No Lo Sé Ni Yo,2025-10-10,,180260,False,https://open.spotify.com/track/5TnAz2CbcJqN7aAjRaM2Mv,rock
0snQkGI5qnAmohLE7jTsTn,Toxicity,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,6jWde94ln40epKIQCd8XUh,Toxicity,2001-09-04,,218933,False,https://open.spotify.com/track/0snQkGI5qnAmohLE7jTsTn,rock
0xnTICdCDK4PD2ZPZ6Xeu7,Serenade,5kdLOinhQnlSk4su7U6lyW,Dover,4QvGBcEdzDFmOfhPzRsEia,Devil Came to Me,1997,,234280,False,https://open.spotify.com/track/0xnTICdCDK4PD2ZPZ6Xeu7,rock
42R5irny7qThOYUThAL7VW,Rojitas las orejas,1tZ99AnqyjgrmPwLfGU5eo,Fito y Fitipaldis,5oEdjJV5w3M9Odc7y2pWS1,A Puerta Cerrada,1998-10-23,,224133,False,https://open.spotify.com/track/42R5irny7qThOYUThAL7VW,rock
4JGKZS7h4Qa16gOU3oNETV,Dreams,7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,0AP5O47kJWlaKVnnybKvQI,"Everybody Else Is Doing It, So Why Can't We?",1993-03-01,,271560,False,https://open.spotify.com/track/4JGKZS7h4Qa16gOU3oNETV,rock
35rxXhxVi03D4Q3F0E4xaL,A la orilla del río,3WQRkINylwwkw1Ya07ToRK,Robe,6Dgq1Ptc2f9Er4LPgWSqSS,Se nos lleva el aire,2023-12-15,,240000,False,https://open.spotify.com/track/35rxXhxVi03D4Q3F0E4xaL,rock
36SJ7ZFx8J1f1RsewmUwMX,Magalenha,65c5si0ePAwkOCn4M35Ho7,Sérgio Mendes,09HBh8LHnAjxwMPWmIWgDb,Brasileiro,1992-06-17,,216933,False,https://open.spotify.com/track/36SJ7ZFx8J1f1RsewmUwMX,jazz
